Time	Channel 8
Seconds	mW

245690	1,6307
245700	1,6307
245710	1,6324
245720	1,6324
245730	1,6324
245740	1,6324
245750	1,6341
245760	1,6324
245770	1,6341
245780	1,6307
245790	1,6324
245800	1,6324
245810	1,6341
245820	1,6324
245830	1,6324
245840	1,6324
245850	1,6307
245860	1,6324
245870	1,6324
245880	1,6324
245890	1,6324
245900	1,6324
245910	1,6324
245920	1,6324
245930	1,6324
245940	1,6324
245950	1,6324
245960	1,6324
245970	1,6307
245980	1,6324
245990	1,6324
246000	1,6324
246010	1,6324
246020	1,6324
246030	1,6324
246040	1,6324
246050	1,6290
246060	1,6307
246070	1,6324
246080	1,6324
246090	1,6324
246100	1,6324
246110	1,6307
246120	1,6324
246130	1,6307
246140	1,6307
246150	1,6290
246160	1,6290
246170	1,6324
246180	1,6307
246190	1,6290
246200	1,6324
246210	1,6324
246220	1,6324
246230	1,6324
246240	1,6341
246250	1,6324
246260	1,6307
246270	1,6324
246280	1,6324
246290	1,6272
246300	1,6307
246310	1,6307
246320	1,6324
246330	1,6324
246340	1,6290
246350	1,6290
246360	1,6324
246370	1,6307
246380	1,6284
246390	1,6324
246400	1,6284
246410	1,6307
246420	1,6324
246430	1,6290
246440	1,6324
246450	1,6272
246460	1,6294
246470	1,6307
246480	1,6255
246490	1,6307
246500	1,6290
246510	1,6324
246520	1,6279
246530	1,6307
246540	1,6284
246550	1,6290
246560	1,6272
246570	1,6324
246580	1,6307
246590	1,6307
246600	1,6307
246610	1,6290
246620	1,6324
246630	1,6307
246640	1,6272
246650	1,6290
246660	1,6307
246670	1,6272
246680	1,6307
246690	1,6307
246700	1,6290
246710	1,6324
246720	1,6307
246730	1,6324
246740	1,6324
246750	1,6238
246760	1,6272
246770	1,6238
246780	1,6238
246790	1,6255
246800	1,6238
246810	1,6307
246820	1,6272
246830	1,6221
246840	1,6307
246850	1,6290
246860	1,6272
246870	1,6221
246880	1,6290
246890	1,6238
246900	1,6255
246910	1,6290
246920	1,6272
246930	1,6272
246940	1,6290
246950	1,6203
246960	1,6272
246970	1,6307
246980	1,6307
246990	1,6272
247000	1,6290
247010	1,6290
247020	1,6290
247030	1,6272
247040	1,6307
247050	1,6238
247060	1,6255
247070	1,6255
247080	1,6272
247090	1,6255
247100	1,6255
247110	1,6238
247120	1,6290
247130	1,6255
247140	1,6272
247150	1,6272
247160	1,6238
247170	1,6255
247180	1,6272
247190	1,6221
247200	1,6255
247210	1,6272
247220	1,6238
247230	1,6221
247240	1,6272
247250	1,6238
247260	1,6221
247270	1,6203
247280	1,6255
247290	1,6238
247300	1,6272
247310	1,6238
247320	1,6272
247330	1,6238
247340	1,6221
247350	1,6272
247360	1,6221
247370	1,6221
247380	1,6272
247390	1,6238
247400	1,6238
247410	1,6290
247420	1,6238
247430	1,6255
247440	1,6221
247450	1,6255
247460	1,6255
247470	1,6255
247480	1,6238
247490	1,6238
247500	1,6221
247510	1,6255
247520	1,6203
247530	1,6221
247540	1,6290
247550	1,6221
247560	1,6221
247570	1,6255
247580	1,6221
247590	1,6203
247600	1,6255
247610	1,6221
247620	1,6238
247630	1,6203
247640	1,6238
247650	1,6238
247660	1,6255
247670	1,6221
247680	1,6203
247690	1,6203
247700	1,6203
247710	1,6255
247720	1,6221
247730	1,6186
247740	1,6203
247750	1,6203
247760	1,6186
247770	1,6203
247780	1,6186
247790	1,6255
247800	1,6203
247810	1,6186
247820	1,6255
247830	1,6238
247840	1,6221
247850	1,6221
247860	1,6203
247870	1,6203
247880	1,6221
247890	1,6203
247900	1,6221
247910	1,6221
247920	1,6221
247930	1,6221
247940	1,6221
247950	1,6203
247960	1,6203
247970	1,6203
247980	1,6169
247990	1,6186
248000	1,6186
248010	1,6221
248020	1,6255
248030	1,6255
248040	1,6186
248050	1,6221
248060	1,6169
248070	1,6255
248080	1,6203
248090	1,6221
248100	1,6134
